model,precision,recall,f1_score,roc_auc
XGBoost,0.7078308731548661,0.825658086733205,0.7622177919068915,0.9063462735989574
Random Forest,0.765413179299776,0.7579524893480418,0.7616645649432535,0.9048837235729466
Logistic Regression,0.588439985538684,0.7599953306484561,0.6633045515906371,0.81329637027371
